image,nation,bigImage,mastery,kpg,xp,dpg,winrate,awards,dpgRanking,armoreff,moe,kd,isPrem,spots,name,wn8,id,dmgratio,hitratio,class,survival,battles,tier
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F110_Lynx_6x6.png,france,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F110_Lynx_6x6.png,4,1.37,1101,1561,65.97,"{'battleHeroes': {'highCaliber': 5, 'topGun': 1, 'confederate': 13, 'tankSniper': 1, 'scout': 8, 'patrolDuty': 8}, 'main': {'fireForEffect': 99, 'duelist': 9, 'fighter': 10, 'spotter': 7, 'reaper': 3, 'masterGunner': 15, 'sharpShooter': 28}, 'epic': {'dumitru': 1, 'orlik': 1, 'pascucci': 2, 'tamada': 1}}","[2462, 345335]",0,3,1.91,False,4.17,Lynx 6x6,4325,18497,1.89,79,LT,28.47,144,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB11_Caernarvon.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB11_Caernarvon.png,4,1.28,1056,1840,62.02,"{'battleHeroes': {'highCaliber': 16, 'topGun': 3, 'confederate': 11, 'tankSniper': 2, 'steelWall': 9, 'defender': 4, 'patrolDuty': 1}, 'main': {'fireForEffect': 59, 'duelist': 7, 'fighter': 5, 'shellproof': 4, 'kamikaze': 1, 'spotter': 3, 'reaper': 3, 'masterGunner': 26, 'sharpShooter': 73}, 'epic': {'naydin': 2}}","[17800, 494284]",0.57,3,1.94,False,1.63,Caernarvon,2993,3921,1.35,83,HT,34.13,208,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G107_PzKpfwIII_AusfK.png,germany,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G107_PzKpfwIII_AusfK.png,4,1.82,985,905,68.24,"{'battleHeroes': {'highCaliber': 10, 'topGun': 5, 'confederate': 3, 'defender': 1, 'scout': 1, 'patrolDuty': 3}, 'main': {'fireForEffect': 57, 'duelist': 10, 'fighter': 9, 'shellproof': 1, 'spotter': 2, 'reaper': 3, 'masterGunner': 14, 'sharpShooter': 26}, 'epic': {'lehvaslaiho': 1, 'naydin': 1, 'radley': 1}}","[184, 6564]",0.14,3,2.63,True,3.01,Pz. III K,4024,61457,1.74,74,MT,30.59,85,5
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R151_Object_257_2.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R151_Object_257_2.png,4,1.89,1279,3479,62.38,"{'battleHeroes': {'highCaliber': 20, 'topGun': 3, 'confederate': 8, 'steelWall': 17}, 'main': {'fireForEffect': 86, 'duelist': 29, 'fighter': 17, 'shellproof': 23, 'spotter': 2, 'reaper': 3, 'masterGunner': 18, 'sharpShooter': 36}, 'epic': {}}","[109, 418584]",1.13,3,3.41,False,1.37,Obj. 257,4884,19713,2.17,83,HT,44.55,101,9
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F70_SARL42.png,france,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F70_SARL42.png,4,1.06,588,505,66.67,"{'battleHeroes': {'highCaliber': 3, 'topGun': 1, 'confederate': 1}, 'main': {'fireForEffect': 20, 'duelist': 2, 'fighter': 1, 'spotter': 1, 'masterGunner': 15, 'sharpShooter': 28}, 'epic': {'lehvaslaiho': 1}}",,0.09,0,1.52,False,1.52,SARL 42,2215,14913,1.92,73,MT,30.3,33,4
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB104_GSR_3301_Setter.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB104_GSR_3301_Setter.png,4,1.36,1060,1298,65.77,"{'battleHeroes': {'highCaliber': 4, 'topGun': 2, 'confederate': 14, 'tankSniper': 2, 'defender': 1, 'scout': 2, 'patrolDuty': 7}, 'main': {'fireForEffect': 77, 'duelist': 7, 'fighter': 7, 'kamikaze': 1, 'spotter': 5, 'reaper': 3, 'masterGunner': 29, 'sharpShooter': 39}, 'epic': {'orlik': 5, 'pascucci': 1, 'radley': 1}}","[82, 73325]",0,3,2.32,False,3.29,Setter,4559,59729,1.81,82,LT,41.44,111,7
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB80_Charioteer.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB80_Charioteer.png,4,1.7,1107,2267,65.83,"{'battleHeroes': {'highCaliber': 25, 'topGun': 8, 'confederate': 20, 'tankSniper': 11, 'defender': 2, 'invader': 2, 'patrolDuty': 1}, 'main': {'fireForEffect': 163, 'duelist': 17, 'fighter': 17, 'spotter': 3, 'reaper': 3, 'masterGunner': 20, 'sharpShooter': 36}, 'epic': {'fadin': 2, 'naydin': 2, 'pascucci': 2}}","[1868, 387947]",0.02,3,2.76,False,1.55,Charioteer,3860,14673,2.68,74,TD,38.19,199,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB96_Excalibur.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB96_Excalibur.png,4,2.08,1153,1506,75.63,"{'battleHeroes': {'highCaliber': 32, 'topGun': 7, 'confederate': 14, 'patrolDuty': 3}, 'main': {'fireForEffect': 140, 'duelist': 20, 'fighter': 22, 'kamikaze': 1, 'spotter': 2, 'reaper': 3, 'masterGunner': 25, 'sharpShooter': 33}, 'epic': {'billotte': 1, 'halonen': 2, 'pascucci': 6, 'radley': 1}}","[376, 44464]",0.06,3,3.77,True,1.87,Excalibur,3642,57681,2.5,70,TD,45,160,6
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R165_Object_703_II.png,4,1.74,1267,2525,60.62,"{'battleHeroes': {'highCaliber': 29, 'topGun': 7, 'confederate': 12, 'tankSniper': 2, 'steelWall': 11, 'defender': 1, 'patrolDuty': 1}, 'main': {'fireForEffect': 181, 'duelist': 30, 'fighter': 25, 'shellproof': 29, 'kamikaze': 1, 'spotter': 3, 'reaper': 3, 'masterGunner': 24, 'sharpShooter': 40}, 'epic': {'naydin': 1, 'radley': 2}}","[1943, 184000]",0.95,3,2.92,True,1.23,703 II (122),3845,44289,2.02,79,HT,40.27,226,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/sweden-S25_EMIL_51.png,sweden,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/sweden-S25_EMIL_51.png,4,1.71,1219,2491,63.49,"{'battleHeroes': {'highCaliber': 20, 'topGun': 2, 'confederate': 6, 'tankSniper': 3, 'steelWall': 2}, 'main': {'fireForEffect': 163, 'duelist': 19, 'fighter': 23, 'shellproof': 4, 'spotter': 3, 'reaper': 5, 'masterGunner': 19, 'sharpShooter': 33}, 'epic': {'pascucci': 2}}","[509, 51413]",0.52,3,3.11,True,1.54,EMIL 1951,3918,52865,2.23,80,HT,44.97,189,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F05_BDR_G1B.png,france,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F05_BDR_G1B.png,4,1.56,720,813,63.26,"{'battleHeroes': {'highCaliber': 24, 'topGun': 6, 'confederate': 1, 'tankSniper': 1, 'steelWall': 3, 'defender': 4}, 'main': {'fireForEffect': 68, 'duelist': 10, 'fighter': 12, 'spotter': 1, 'reaper': 5, 'masterGunner': 25, 'sharpShooter': 37}, 'epic': {'pascucci': 1, 'radley': 1}}","[11456, 474512]",0.21,3,2.31,False,1.35,BDR G1 B,2348,6721,1.52,75,HT,32.56,215,5
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB78_Sexton_I.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB78_Sexton_I.png,4,1.83,492,514,60.87,"{'battleHeroes': {'confederate': 1}, 'main': {'duelist': 1, 'fighter': 2, 'reaper': 3, 'masterGunner': 5}, 'epic': {'gore': 1}}",,0.27,0,3.5,True,0.04,Sexton I,2251,54609,6.69,37,SPG,47.83,23,3
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G67_VK4502A.png,germany,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G67_VK4502A.png,4,1.52,1050,1915,65.26,"{'battleHeroes': {'highCaliber': 16, 'topGun': 4, 'confederate': 10, 'tankSniper': 3, 'steelWall': 6, 'invader': 2, 'patrolDuty': 1}, 'main': {'fireForEffect': 128, 'duelist': 22, 'fighter': 20, 'shellproof': 6, 'kamikaze': 5, 'spotter': 4, 'reaper': 5, 'masterGunner': 17, 'sharpShooter': 29}, 'epic': {}}","[2287, 312377]",0.51,3,2.67,False,1.39,VK 45.02 A,3082,10513,1.51,77,HT,43.19,213,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch51_BZ_58.png,china,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/china-Ch51_BZ_58.png,4,1.92,1335,2191,74.03,"{'battleHeroes': {'highCaliber': 14, 'topGun': 2, 'confederate': 6, 'steelWall': 7, 'patrolDuty': 1}, 'main': {'fireForEffect': 60, 'duelist': 17, 'fighter': 9, 'shellproof': 7, 'kamikaze': 2, 'spotter': 2, 'reaper': 4, 'masterGunner': 15, 'sharpShooter': 25}, 'epic': {'pascucci': 1, 'pool': 1}}","[39, 51233]",0.76,3,3.22,False,1.27,BZ-58,4451,9777,1.97,80,HT,40.26,77,7
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB126_FSV_Scheme_A.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB126_FSV_Scheme_A.png,4,2.1,1363,1782,74.03,"{'battleHeroes': {'highCaliber': 13, 'topGun': 3, 'confederate': 9, 'tankSniper': 5, 'defender': 2, 'patrolDuty': 5}, 'main': {'fireForEffect': 60, 'duelist': 15, 'fighter': 13, 'spotter': 4, 'reaper': 3, 'masterGunner': 24, 'sharpShooter': 37}, 'epic': {'lehvaslaiho': 3, 'oskin': 1, 'pascucci': 2}}","[70, 16828]",0.04,3,5.06,False,3.16,FSV Sch. A,4879,20561,2.3,83,MT,58.44,77,7
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R144_K_91.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R144_K_91.png,4,1.88,1108,3264,63.16,"{'battleHeroes': {'highCaliber': 29, 'topGun': 9, 'confederate': 43, 'tankSniper': 6, 'steelWall': 2, 'defender': 3, 'scout': 2, 'patrolDuty': 3}, 'main': {'fireForEffect': 203, 'duelist': 32, 'fighter': 31, 'shellproof': 1, 'spotter': 7, 'reaper': 3, 'masterGunner': 16, 'sharpShooter': 32}, 'epic': {'dumitru': 1, 'pascucci': 1, 'pool': 1, 'radley': 2}}","[492, 38236]",0.33,3,3.33,False,2.12,K-91,4133,21761,1.98,80,MT,43.61,266,10
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R89_SU122_44.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R89_SU122_44.png,4,1.98,1122,1954,66.36,"{'battleHeroes': {'highCaliber': 42, 'topGun': 9, 'tankSniper': 5, 'steelWall': 2, 'defender': 1, 'scout': 1, 'patrolDuty': 1}, 'main': {'fireForEffect': 182, 'duelist': 24, 'fighter': 25, 'shellproof': 15, 'kamikaze': 1, 'spotter': 3, 'reaper': 5, 'masterGunner': 12, 'sharpShooter': 23}, 'epic': {'pascucci': 4, 'radley': 3}}","[242, 201812]",0.55,3,3.35,True,1.44,SU-122-44,4007,55297,2.86,70,TD,41.01,217,7
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch19_121.png,china,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/china-Ch19_121.png,4,1.62,974,2768,61.31,"{'battleHeroes': {'highCaliber': 32, 'topGun': 10, 'confederate': 22, 'tankSniper': 6, 'steelWall': 9, 'defender': 1, 'invader': 1, 'scout': 2, 'patrolDuty': 5}, 'main': {'fireForEffect': 259, 'duelist': 44, 'fighter': 37, 'shellproof': 10, 'spotter': 5, 'reaper': 3, 'masterGunner': 25, 'sharpShooter': 53}, 'epic': {'pascucci': 4, 'radley': 1}}","[4018, 105230]",0.46,3,2.47,False,2.04,121,3235,4145,1.64,80,MT,34.62,442,10
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R72_T150.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R72_T150.png,4,2.01,1079,1572,72.92,"{'battleHeroes': {'highCaliber': 28, 'topGun': 4, 'confederate': 1, 'steelWall': 6}, 'main': {'fireForEffect': 91, 'duelist': 17, 'fighter': 22, 'shellproof': 8, 'kamikaze': 1, 'spotter': 1, 'reaper': 3, 'masterGunner': 16, 'sharpShooter': 30}, 'epic': {'kolobanov': 1}}","[316, 828248]",0.79,3,4.45,False,1.21,T-150,4095,11265,2.43,73,HT,54.86,144,6
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J26_Type_89.png,japan,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/japan-J26_Type_89.png,4,2.11,613,347,88.89,"{'battleHeroes': {}, 'main': {'fireForEffect': 8, 'duelist': 1, 'fighter': 1, 'masterGunner': 7, 'sharpShooter': 11}, 'epic': {}}",,0.3,0,9.5,False,2,I-Go/Chi-Ro,2331,5985,3.42,59,MT,77.78,9,2
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G18_JagdPanther.png,germany,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G18_JagdPanther.png,4,1.52,897,1521,65.55,"{'battleHeroes': {'highCaliber': 14, 'topGun': 6, 'tankSniper': 2, 'defender': 1, 'patrolDuty': 1}, 'main': {'fireForEffect': 98, 'duelist': 7, 'fighter': 15, 'shellproof': 1, 'kamikaze': 1, 'spotter': 2, 'reaper': 4, 'masterGunner': 18, 'sharpShooter': 43}, 'epic': {'radley': 1}}","[5151, 664835]",0.32,3,2.39,False,1.01,JPanther,2933,3857,2.26,76,TD,36.36,209,7
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F74_AMX_M4_1949.png,france,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F74_AMX_M4_1949.png,4,1.67,1398,2503,67.96,"{'battleHeroes': {'highCaliber': 18, 'topGun': 2, 'confederate': 17, 'tankSniper': 1, 'steelWall': 14, 'defender': 1}, 'main': {'fireForEffect': 79, 'duelist': 13, 'fighter': 8, 'shellproof': 18, 'kamikaze': 1, 'spotter': 3, 'reaper': 6, 'masterGunner': 21, 'sharpShooter': 37}, 'epic': {'pascucci': 1, 'radley': 1}}","[37, 103808]",1.22,3,2.92,True,1.82,AMX M4 49,4877,62785,1.98,81,HT,42.72,103,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R54_KV-5.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R54_KV-5.png,4,1.86,1349,2329,65.61,"{'battleHeroes': {'highCaliber': 30, 'topGun': 8, 'confederate': 13, 'steelWall': 34, 'defender': 1, 'patrolDuty': 3}, 'main': {'fireForEffect': 120, 'duelist': 46, 'fighter': 28, 'shellproof': 34, 'kamikaze': 1, 'spotter': 4, 'reaper': 6, 'masterGunner': 14, 'sharpShooter': 34}, 'epic': {'radley': 1}}","[374, 93811]",1.33,3,2.82,True,1.88,KV-5,4135,53249,1.46,78,HT,33.86,189,8
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB77_FV304.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB77_FV304.png,4,1.57,767,1016,75.9,"{'battleHeroes': {'confederate': 3}, 'main': {'fighter': 1, 'kamikaze': 1, 'spotter': 1, 'reaper': 4, 'masterGunner': 15, 'sharpShooter': 19}, 'epic': {}}","[2824, 428196]",0.02,0,2.95,False,0.37,FV304,2590,11857,5.84,46,SPG,46.99,83,6
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G163_Pz_Kpfw_KW_Ir_mit_75mm_kwk40.png,germany,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G163_Pz_Kpfw_KW_Ir_mit_75mm_kwk40.png,4,2.86,1557,1833,85.71,"{'battleHeroes': {'highCaliber': 2, 'topGun': 1, 'steelWall': 2}, 'main': {'fireForEffect': 7, 'duelist': 3, 'fighter': 2, 'shellproof': 2, 'masterGunner': 22, 'sharpShooter': 53}, 'epic': {}}",,1.8,0,5,True,1.29,Pz. KW I,5357,59153,2.72,89,HT,42.86,7,5
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G85_Auf_Panther.png,germany,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G85_Auf_Panther.png,4,1.24,921,1064,59.5,"{'battleHeroes': {'highCaliber': 6, 'topGun': 9, 'confederate': 14, 'tankSniper': 2, 'steelWall': 1, 'defender': 5, 'invader': 2, 'scout': 8, 'patrolDuty': 9}, 'main': {'fireForEffect': 272, 'duelist': 54, 'fighter': 40, 'kamikaze': 65, 'spotter': 10, 'reaper': 3, 'masterGunner': 21, 'sharpShooter': 49}, 'epic': {'orlik': 3, 'pascucci': 2}}","[1369, 74185]",0.09,3,1.69,True,2.92,Aufkl.Panther,3499,14353,1.24,78,LT,26.22,595,7
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB113_Matilda_LVT.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB113_Matilda_LVT.png,4,1,1139,1280,66.67,"{'battleHeroes': {'highCaliber': 1, 'confederate': 1}, 'main': {'fireForEffect': 3, 'masterGunner': 5, 'sharpShooter': 15}, 'epic': {}}",,0.41,0,1,True,4.33,Matilda LVT,3262,51281,2.56,67,MT,0,3,4
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R95_Object_907.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R95_Object_907.png,4,2.02,1204,3571,64.64,"{'battleHeroes': {'highCaliber': 101, 'topGun': 26, 'confederate': 100, 'tankSniper': 9, 'steelWall': 11, 'defender': 2, 'scout': 6, 'patrolDuty': 18}, 'main': {'fireForEffect': 445, 'duelist': 108, 'fighter': 78, 'shellproof': 23, 'spotter': 7, 'reaper': 5, 'masterGunner': 24, 'sharpShooter': 54}, 'epic': {'billotte': 1, 'dumitru': 1, 'fadin': 1, 'naydin': 1, 'pascucci': 4, 'radley': 2}}","[1806, 56543]",0.62,3,3.35,True,2.78,Obj. 907,4105,15617,2.07,82,MT,39.78,543,10
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R15_S-51.png,ussr,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R15_S-51.png,4,1.17,789,1524,59.5,"{'battleHeroes': {'highCaliber': 4, 'defender': 1}, 'main': {'fighter': 4, 'reaper': 4, 'masterGunner': 6}, 'epic': {'gore': 4}}","[9556, 378782]",0.11,1,2.24,False,0.02,S-51,2267,1793,8.22,35,SPG,47.93,121,7
https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB103_GSOR3301_AVR_FS.png,uk,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB103_GSOR3301_AVR_FS.png,4,1.36,1071,1724,62.72,"{'battleHeroes': {'confederate': 19, 'tankSniper': 2, 'defender': 2, 'scout': 4, 'patrolDuty': 21}, 'main': {'fireForEffect': 117, 'duelist': 13, 'fighter': 14, 'spotter': 10, 'reaper': 3, 'masterGunner': 22, 'sharpShooter': 36}, 'epic': {'billotte': 1, 'fadin': 1, 'orlik': 4, 'pascucci': 3}}","[318, 64885]",0.03,3,2.21,False,3.73,GSOR,3901,58705,1.66,84,LT,38.46,169,9
