isPrem,tank_id,avg_ammo_cost,tier,avg_earnings,image,name,class,avg_consumables_cost,nation,cost_per_shot,avg_repair_cost,earnings_per_minute,profit_per_minute,battles,avg_profit
True,52129,23216,8,112120,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46_LE.png,Mars,MT,6432,Italy,1735,7572,21454,14331,6321,74898
True,51105,21226,8,109205,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It18_Progetto_C45_mod_71.png,Bisonte C45,HT,8121,Italy,2215,6210,21704,14637,25302,73645
True,44289,21504,8,108094,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png,703 II (122),HT,8313,USSR,2344,7419,21353,13997,46284,70857
True,32545,24035,8,109963,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A153_XM66F.png,XM66F,TD,8276,USA,2545,6858,20500,13197,52986,70792
True,43585,8086,8,94565,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F106_Panhard_EBR_75_Mle1954.png,EBR 75 FL 10,LT,10866,France,685,5076,21458,16005,21266,70535
True,56065,19848,8,101436,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto_S.png,Peregrine,HT,6245,USSR,2087,6849,19984,13494,3623,68492
True,61265,24410,8,108958,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB121_GSOR_1010_FB.png,GSOR 1010,MT,10662,UK,2808,6179,21082,13100,70797,67706
True,49425,21449,8,106521,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G44_JagdTigerH.png,Jagdtiger Pr,TD,9334,Germany,2587,8297,18195,11519,6631,67438
True,52049,33733,8,118325,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB111_Charlemagne.png,Charlemagne,HT,10254,UK,3670,6923,21830,12437,1138,67414
True,51057,26895,8,110259,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz14_Skoda_T-56.png,Škoda T 56,HT,9831,Czech,3222,6631,21081,12791,79736,66901
True,53249,13095,8,94231,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R54_KV-5.png,KV-5,HT,4756,USSR,1345,9507,25673,18219,10151,66872
True,65329,16054,8,98778,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch43_WZ_122_2.png,122 TM,MT,8914,China,1991,7136,17563,11855,19871,66673
True,53601,24851,8,111490,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J36_Type_63_HT.png,Type 63,HT,9694,Japan,2511,10282,21952,13125,88195,66661
True,30465,38045,9,131462,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R172_Object_752.png,Obj. 752,HT,10850,USSR,3661,15935,23225,11771,64186,66631
True,53345,25535,8,108129,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J31_Type_5_KaRi.png,Ka-Ri,TD,9668,Japan,2945,6565,18307,11235,24927,66360
True,61985,26589,8,109891,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A124_T54E2.png,Renegade,HT,10530,USA,2478,7236,21595,12878,24832,65535
