tank_id,damage,winrate,direct_hits,image,life_time,distance_traveled,player_winrate,spotting_assist,isPrem,tracking_assist,damage_blocked,nation,big_image,survival,frags,battles,pen_rate,potential_damage_received,tier,penetrations,sniper_damage,shots_fired,damage_received,base_capture_points,base_defense_points,name,winrate_differential,class,spots,wn8,hit_rate
53601,1328,49.69,6.5,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J36_Type_63_HT.png,296,1275,51.8,275,True,46,579,Japan,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/japan-J36_Type_63_HT.png,25.57,0.7,125637,68.11,1855,8,4.43,239,8.49,1300,0.6,0.36,Type 63,-2.11,HT,1.09,1300,76.55
23057,1637,49.95,5.4,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G167_Tiger_Maus_120t.png,316,1080,51.33,303,True,52,1221,Germany,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G167_Tiger_Maus_120t.png,28.83,0.73,121281,62.45,3056,9,3.37,205,7.06,1833,0.99,0.29,Tiger-Maus,-1.38,HT,0.74,1301,76.51
61505,593,50.56,3.7,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F97_ELC_EVEN_90.png,267,1732,50.96,1073,True,21,0,France,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/france-F97_ELC_EVEN_90.png,23.88,0.55,119187,78.83,756,8,2.92,95,5.07,779,0.96,0.42,ELC EVEN 90,-0.4,LT,3.14,1096,73.05
30465,1782,51.96,7.11,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R172_Object_752.png,325,1313,51.68,330,True,67,1097,USSR,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R172_Object_752.png,32.98,0.9,107977,69.72,2670,9,4.96,190,9.06,1570,0.94,0.42,Obj. 752,0.28,HT,0.96,1370,78.49
60225,1472,54.6,5.86,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F116_Bat_Chatillon_Bourrasque.png,299,1848,53.25,616,True,51,3,France,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/france-F116_Bat_Chatillon_Bourrasque.png,29.57,1.04,107357,77.64,1032,8,4.55,407,7.82,1071,0.52,0.56,Bourrasque,1.35,MT,1.98,1848,74.93
45057,1407,50.1,4.18,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM.png,354,1202,50.6,181,True,41,2,USSR,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/ussr-R159_SU_130PM.png,35.55,0.91,105040,73.85,772,8,3.08,764,6.49,839,0.77,0.43,SU-130PM,-0.5,TD,0.38,1397,64.33
61265,1286,49.77,5.05,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB121_GSOR_1010_FB.png,286,1729,51.91,341,True,46,62,UK,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB121_GSOR_1010_FB.png,23.53,0.77,98600,76.83,1143,8,3.88,489,7.1,1072,0.4,0.47,GSOR 1010,-2.14,MT,1.31,1428,71.18
32545,1326,50.42,5.38,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A153_XM66F.png,317,1179,50.9,232,True,48,538,USA,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/usa-A153_XM66F.png,29.63,0.82,95010,67.94,1674,8,3.66,395,7.89,1112,0.88,0.38,XM66F,-0.48,TD,0.66,1240,68.2
50193,1274,49.32,3.98,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Rheinmetall_Skorpian.png,335,1254,49.51,167,True,41,5,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G114_Rheinmetall_Skorpian.png,31.09,0.81,94248,73.42,879,8,2.93,722,6.25,927,0.71,0.38,Skorpion G,-0.19,TD,0.4,1281,63.8
14609,2043,49.08,7.06,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G89_Leopard1.png,330,1740,51.99,467,False,83,99,Germany,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/germany-G89_Leopard1.png,29.47,0.96,89565,73.87,1614,10,5.22,924,9.69,1592,0.43,0.49,Leopard 1,-2.91,MT,1.09,1651,72.89
