isPrem,dmgratio,hitratio,kd,nation,winrate,spots,moe,xp,image,battles,mastery,id,wn8,tier,bigImage,kpg,class,awards,armoreff,name,dpg,survival,dpgRanking
False,1.89,79,1.91,france,65.97,4.17,3,1101,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F110_Lynx_6x6.png,144,4,18497,4325,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F110_Lynx_6x6.png,1.37,LT,"{'battleHeroes': {'highCaliber': 5, 'topGun': 1, 'confederate': 13, 'tankSniper': 1, 'scout': 8, 'patrolDuty': 8}, 'main': {'fireForEffect': 99, 'duelist': 9, 'fighter': 10, 'spotter': 7, 'reaper': 3, 'masterGunner': 15, 'sharpShooter': 28}, 'epic': {'dumitru': 1, 'orlik': 1, 'pascucci': 2, 'tamada': 1}}",0,Lynx 6x6,1561,28.47,
False,1.35,83,1.94,uk,62.02,1.63,3,1056,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB11_Caernarvon.png,208,4,3921,2993,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB11_Caernarvon.png,1.28,HT,"{'battleHeroes': {'highCaliber': 16, 'topGun': 3, 'confederate': 11, 'tankSniper': 2, 'steelWall': 9, 'defender': 4, 'patrolDuty': 1}, 'main': {'fireForEffect': 59, 'duelist': 7, 'fighter': 5, 'shellproof': 4, 'kamikaze': 1, 'spotter': 3, 'reaper': 3, 'masterGunner': 26, 'sharpShooter': 73}, 'epic': {'naydin': 2}}",0.57,Caernarvon,1840,34.13,
True,1.74,74,2.63,germany,68.24,3.01,3,985,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/germany-G107_PzKpfwIII_AusfK.png,85,4,61457,4022,5,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/germany-G107_PzKpfwIII_AusfK.png,1.82,MT,"{'battleHeroes': {'highCaliber': 10, 'topGun': 5, 'confederate': 3, 'defender': 1, 'scout': 1, 'patrolDuty': 3}, 'main': {'fireForEffect': 57, 'duelist': 10, 'fighter': 9, 'shellproof': 1, 'spotter': 2, 'reaper': 3, 'masterGunner': 14, 'sharpShooter': 26}, 'epic': {'lehvaslaiho': 1, 'naydin': 1, 'radley': 1}}",0.14,Pz. III K,905,30.59,
False,2.17,83,3.41,ussr,62.38,1.37,3,1279,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R151_Object_257_2.png,101,4,19713,4883,9,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R151_Object_257_2.png,1.89,HT,"{'battleHeroes': {'highCaliber': 20, 'topGun': 3, 'confederate': 8, 'steelWall': 17}, 'main': {'fireForEffect': 86, 'duelist': 29, 'fighter': 17, 'shellproof': 23, 'spotter': 2, 'reaper': 3, 'masterGunner': 18, 'sharpShooter': 36}, 'epic': {}}",1.13,Obj. 257,3479,44.55,
False,1.92,73,1.52,france,66.67,1.52,0,588,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/france-F70_SARL42.png,33,4,14913,2215,4,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/france-F70_SARL42.png,1.06,MT,"{'battleHeroes': {'highCaliber': 3, 'topGun': 1, 'confederate': 1}, 'main': {'fireForEffect': 20, 'duelist': 2, 'fighter': 1, 'spotter': 1, 'masterGunner': 15, 'sharpShooter': 28}, 'epic': {'lehvaslaiho': 1}}",0.09,SARL 42,505,30.3,
False,1.81,82,2.32,uk,65.77,3.29,3,1060,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB104_GSR_3301_Setter.png,111,4,59729,4559,7,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB104_GSR_3301_Setter.png,1.36,LT,"{'battleHeroes': {'highCaliber': 4, 'topGun': 2, 'confederate': 14, 'tankSniper': 2, 'defender': 1, 'scout': 2, 'patrolDuty': 7}, 'main': {'fireForEffect': 77, 'duelist': 7, 'fighter': 7, 'kamikaze': 1, 'spotter': 5, 'reaper': 3, 'masterGunner': 29, 'sharpShooter': 39}, 'epic': {'orlik': 5, 'pascucci': 1, 'radley': 1}}",0,Setter,1298,41.44,
False,2.68,74,2.76,uk,65.83,1.55,3,1107,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB80_Charioteer.png,199,4,14673,3860,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB80_Charioteer.png,1.7,TD,"{'battleHeroes': {'highCaliber': 25, 'topGun': 8, 'confederate': 20, 'tankSniper': 11, 'defender': 2, 'invader': 2, 'patrolDuty': 1}, 'main': {'fireForEffect': 163, 'duelist': 17, 'fighter': 17, 'spotter': 3, 'reaper': 3, 'masterGunner': 20, 'sharpShooter': 36}, 'epic': {'fadin': 2, 'naydin': 2, 'pascucci': 2}}",0.02,Charioteer,2267,38.19,
True,2.5,70,3.77,uk,75.63,1.87,3,1153,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB96_Excalibur.png,160,4,57681,3642,6,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/uk-GB96_Excalibur.png,2.08,TD,"{'battleHeroes': {'highCaliber': 32, 'topGun': 7, 'confederate': 14, 'patrolDuty': 3}, 'main': {'fireForEffect': 140, 'duelist': 20, 'fighter': 22, 'kamikaze': 1, 'spotter': 2, 'reaper': 3, 'masterGunner': 25, 'sharpShooter': 33}, 'epic': {'billotte': 1, 'halonen': 2, 'pascucci': 6, 'radley': 1}}",0.06,Excalibur,1506,45,
True,2.02,79,2.92,ussr,60.62,1.23,3,1267,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png,226,4,44289,3845,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/ussr-R165_Object_703_II.png,1.74,HT,"{'battleHeroes': {'highCaliber': 29, 'topGun': 7, 'confederate': 12, 'tankSniper': 2, 'steelWall': 11, 'defender': 1, 'patrolDuty': 1}, 'main': {'fireForEffect': 181, 'duelist': 30, 'fighter': 25, 'shellproof': 29, 'kamikaze': 1, 'spotter': 3, 'reaper': 3, 'masterGunner': 24, 'sharpShooter': 40}, 'epic': {'naydin': 1, 'radley': 2}}",0.95,703 II (122),2525,40.27,
True,2.23,80,3.11,sweden,63.49,1.54,3,1219,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/sweden-S25_EMIL_51.png,189,4,52865,3916,8,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/sweden-S25_EMIL_51.png,1.71,HT,"{'battleHeroes': {'highCaliber': 20, 'topGun': 2, 'confederate': 6, 'tankSniper': 3, 'steelWall': 2}, 'main': {'fireForEffect': 163, 'duelist': 19, 'fighter': 23, 'shellproof': 4, 'spotter': 3, 'reaper': 5, 'masterGunner': 19, 'sharpShooter': 33}, 'epic': {'pascucci': 2}}",0.52,EMIL 1951,2491,44.97,
